,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,Localidades
417340,2.0,1.0,1.0,55.0,49.0,139500.0,0,9
417341,2.0,1.0,1.0,35.0,35.0,68000.0,0,9
417343,2.0,1.0,1.0,38.0,38.0,74000.0,0,9
417346,2.0,1.0,1.0,59.0,59.0,81500.0,0,21
417348,2.0,1.0,1.0,50.0,45.0,127000.0,0,21
417351,2.0,1.0,1.0,42.0,37.0,80000.0,0,40
417352,2.0,1.0,1.0,48.0,37.0,60000.0,0,40
417355,2.0,1.0,1.0,33.0,33.0,77499.0,0,14
417357,2.0,1.0,1.0,34.0,34.0,99000.0,0,14
417358,2.0,1.0,1.0,40.0,40.0,93000.0,0,14
417359,2.0,1.0,1.0,54.0,47.0,146000.0,0,14
417384,2.0,1.0,1.0,41.0,41.0,109900.0,0,30
417386,2.0,1.0,1.0,45.0,45.0,140000.0,0,5
417389,2.0,1.0,1.0,59.0,52.0,340000.0,0,5
417391,2.0,1.0,1.0,59.0,43.0,119500.0,0,5
417399,2.0,1.0,1.0,35.0,35.0,95000.0,0,39
417400,2.0,1.0,1.0,64.0,45.0,136000.0,0,44
417401,2.0,1.0,1.0,35.0,35.0,79000.0,0,44
417403,2.0,1.0,1.0,50.0,36.0,124500.0,0,45
417436,2.0,1.0,1.0,78.0,68.0,355000.0,0,34
417439,2.0,1.0,1.0,42.0,42.0,54900.0,0,38
417442,2.0,1.0,1.0,48.0,41.0,104000.0,0,49
417444,2.0,1.0,1.0,46.0,42.0,132000.0,0,55
417445,2.0,1.0,1.0,48.0,42.0,129000.0,0,55
417448,2.0,1.0,1.0,58.0,45.0,110000.0,0,55
417449,2.0,1.0,2.0,62.0,62.0,149900.0,0,55
417450,2.0,1.0,1.0,39.0,36.0,134900.0,0,55
417451,2.0,1.0,2.0,66.0,49.0,229000.0,0,55
417453,2.0,1.0,1.0,52.0,47.0,109800.0,0,55
417483,2.0,1.0,1.0,50.0,43.0,99000.0,0,42
417485,2.0,1.0,1.0,49.0,46.0,121500.0,0,31
417494,2.0,1.0,1.0,33.0,33.0,74900.0,0,50
417498,2.0,1.0,1.0,84.0,84.0,135000.0,0,11
417811,3.0,2.0,1.0,60.0,52.0,129500.0,3,8
417813,3.0,2.0,2.0,100.0,100.0,230000.0,3,17
417814,3.0,2.0,1.0,45.0,45.0,69500.0,3,17
417817,3.0,2.0,1.0,65.0,65.0,123000.0,3,2
417818,3.0,2.0,1.0,68.0,65.0,125000.0,3,2
